id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
active,boolean
name,HumanName
telecom,ContactPoint
gender,code
birthDate,date
deceasedBoolean,boolean
deceasedDateTime,dateTime
address,Address
maritalStatus,CodeableConcept
multipleBirthBoolean,boolean
multipleBirthInteger,integer
photo,Attachment
contact,Patient::Contact
communication,Patient::Communication
generalPractitioner,Reference
managingOrganization,Reference
link,Patient::Link
