id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
identifier,Identifier
version,string
name,string
title,string
shortTitle,string
subtitle,string
status,code
experimental,boolean
subjectCodeableConcept,CodeableConcept
subjectReference,Reference
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
comment,string
useContext,UsageContext
jurisdiction,CodeableConcept
purpose,markdown
usage,string
copyright,markdown
approvalDate,date
lastReviewDate,date
effectivePeriod,Period
topic,CodeableConcept
author,ContactDetail
editor,ContactDetail
reviewer,ContactDetail
endorser,ContactDetail
relatedArtifact,RelatedArtifact
library,canonical
type,code
variableType,code
characteristic,ResearchElementDefinition::Characteristic
