id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
basedOn,Reference
parent,Reference
status,code
method,CodeableConcept
code,CodeableConcept
subject,Reference
encounter,Reference
occurrenceDateTime,dateTime
occurrencePeriod,Period
condition,Reference
performer,Reference
reasonCode,CodeableConcept
reasonReference,Reference
basis,Reference
prediction,RiskAssessment::Prediction
mitigation,string
note,Annotation
