id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
url,uri
identifier,Identifier
version,string
name,string
title,string
status,code
experimental,boolean
date,dateTime
publisher,string
contact,ContactDetail
description,markdown
useContext,UsageContext
jurisdiction,CodeableConcept
purpose,markdown
copyright,markdown
keyword,Coding
fhirVersion,code
mapping,StructureDefinition::Mapping
kind,code
abstract,boolean
context,StructureDefinition::Context
contextInvariant,string
type,uri
baseDefinition,canonical
derivation,code
snapshot,StructureDefinition::Snapshot
differential,StructureDefinition::Differential
