id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
sourceMaterialClass,CodeableConcept
sourceMaterialType,CodeableConcept
sourceMaterialState,CodeableConcept
organismId,Identifier
organismName,string
parentSubstanceId,Identifier
parentSubstanceName,string
countryOfOrigin,CodeableConcept
geographicalLocation,string
developmentStage,CodeableConcept
fractionDescription,SubstanceSourceMaterial::FractionDescription
organism,SubstanceSourceMaterial::Organism
partDescription,SubstanceSourceMaterial::PartDescription
