id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
type,CodeableConcept
status,CodeableConcept
domain,CodeableConcept
description,string
source,Reference
comment,string
moiety,SubstanceSpecification::Moiety
property,SubstanceSpecification::Property
referenceInformation,Reference
structure,SubstanceSpecification::Structure
code,SubstanceSpecification::Code
name,SubstanceSpecification::Name
molecularWeight,SubstanceSpecification::Structure::Isotope::MolecularWeight
relationship,SubstanceSpecification::Relationship
nucleicAcid,Reference
polymer,Reference
protein,Reference
sourceMaterial,Reference
