id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
status,code
category,CodeableConcept
priority,code
itemCodeableConcept,CodeableConcept
itemReference,Reference
quantity,Quantity
parameter,SupplyRequest::Parameter
occurrenceDateTime,dateTime
occurrencePeriod,Period
occurrenceTiming,Timing
authoredOn,dateTime
requester,Reference
supplier,Reference
reasonCode,CodeableConcept
reasonReference,Reference
deliverFrom,Reference
deliverTo,Reference
