id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
identifier,Identifier
instantiatesCanonical,canonical
instantiatesUri,uri
basedOn,Reference
groupIdentifier,Identifier
partOf,Reference
status,code
statusReason,CodeableConcept
businessStatus,CodeableConcept
intent,code
priority,code
code,CodeableConcept
description,string
focus,Reference
for,Reference
encounter,Reference
executionPeriod,Period
authoredOn,dateTime
lastModified,dateTime
requester,Reference
performerType,CodeableConcept
owner,Reference
location,Reference
reasonCode,CodeableConcept
reasonReference,Reference
insurance,Reference
note,Annotation
relevantHistory,Reference
restriction,Task::Restriction
input,Task::Input
output,Task::Output
