id,id
meta,Meta
implicitRules,uri
language,code
text,Narrative
contained,Resource
extension,Extension
modifierExtension,Extension
target,Reference
targetLocation,string
need,CodeableConcept
status,code
statusDate,dateTime
validationType,CodeableConcept
validationProcess,CodeableConcept
frequency,Timing
lastPerformed,dateTime
nextScheduled,date
failureAction,CodeableConcept
primarySource,VerificationResult::PrimarySource
attestation,VerificationResult::Attestation
validator,VerificationResult::Validator
