id,string
extension,Extension
url,uri
valueBase64Binary,base64Binary
valueBoolean,boolean
valueCanonical,canonical
valueCode,code
valueDate,date
valueDateTime,dateTime
valueDecimal,decimal
valueId,id
valueInstant,instant
valueInteger,integer
valueMarkdown,markdown
valueOid,oid
valuePositiveInt,positiveInt
valueString,string
valueTime,time
valueUnsignedInt,unsignedInt
valueUri,uri
valueUrl,url
valueUuid,uuid
valueAddress,Address
valueAge,Age
valueAnnotation,Annotation
valueAttachment,Attachment
valueCodeableConcept,CodeableConcept
valueCoding,Coding
valueContactPoint,ContactPoint
valueCount,Count
valueDistance,Distance
valueDuration,Duration
valueHumanName,HumanName
valueIdentifier,Identifier
valueMoney,Money
valuePeriod,Period
valueQuantity,Quantity
valueRange,Range
valueRatio,Ratio
valueReference,Reference
valueSampledData,SampledData
valueSignature,Signature
valueTiming,Timing
valueContactDetail,ContactDetail
valueContributor,Contributor
valueDataRequirement,DataRequirement
valueExpression,Expression
valueParameterDefinition,ParameterDefinition
valueRelatedArtifact,RelatedArtifact
valueTriggerDefinition,TriggerDefinition
valueUsageContext,UsageContext
valueDosage,Dosage
valueMeta,Meta
